province,municipality,annual_demand_base_l,observed_inventory_l,safety_stock_gap_l,minimum_reserve_l,demand_proportional_l,emergency_topup_l,recommended_allocation_l
Gyeonggi-do,Hwaseongsi,7117420.180883577,33618.0,24881.343952467752,4878.048780487805,42477.04033288542,4046.335558175125,51401.42467154835
Gyeonggi-do,Suwonsijangangu,6216676.585327191,3530.0,47565.971934196095,4878.048780487805,37101.3675377341,7735.429563779997,49714.8458820019
Gyeonggi-do,Yonginsicheoingu,5915542.245638894,20811.0,27809.89516963475,4878.048780487805,35304.18609172192,4522.592023525124,44704.82689573485
Gyeonggi-do,Ansansisangnokgu,5445137.00113927,5139.0,39615.55069429537,4878.048780487805,32496.789305302205,6442.490073576518,43817.32815936653
Gyeonggi-do,Goyangsideogyanggu,5326102.202384882,1580.0,42196.1824853552,4878.048780487805,31786.38499879696,6862.16604440312,43526.59982368789
Gyeonggi-do,Namyangju-si,5123681.945029195,3324.0,38788.454342705714,4878.048780487805,30578.333033706556,6307.983296777502,41764.365110971856
Gyeonggi-do,Bucheon-si,4657658.41046066,3322.0,34960.123921594466,4878.048780487805,27797.086462496805,5685.3999853221885,38360.5352283068
Gyeonggi-do,Pyeongtaek-si,5008749.818847869,23325.0,17842.806730256452,4878.048780487805,29892.413636610843,2901.691462816761,37672.15387991541
Gyeonggi-do,Siheung-si,4517624.595698101,1598.0,35533.161060532344,4878.048780487805,26961.359212107243,5778.59031120928,37617.99830380433
Gyeonggi-do,Paju-si,4177174.437371632,5854.0,28478.940581136703,4878.048780487805,24929.53943203977,4631.39572174038,34438.983934267955
Gyeonggi-do,Seongnamsisujeonggu,3814290.118463592,6.0,31344.32974079665,4878.048780487805,22763.831709481947,5097.380439723896,32739.26092969365
Gyeonggi-do,Gwangju,4101064.2780917534,14698.0,19009.3776281514,4878.048780487805,24475.311042635847,3091.405383186261,32444.76520630992
Gyeonggi-do,Gimpo-si,3819586.7361002215,2274.0,29119.86358438538,4878.048780487805,22795.442129446088,4735.626005403988,32409.11691533788
Incheon,Seo-gu,3712862.971511901,8193.0,22323.681957632056,4878.048780487805,22158.51055344172,3630.395056919751,30666.954390849274
Incheon,Namdong-gu,3236635.842341981,5474.0,21128.486375413544,4878.048780487805,19316.36853298092,3436.0260392114083,27630.44335268013
Gyeonggi-do,Anyangsimanangu,3128446.5804011323,1610.0,24103.25956494081,4878.048780487805,18670.690811804703,3919.799365816475,27468.53895810898
Incheon,Bupyeong-gu,2588174.62542081,636.0,20636.668154143645,4878.048780487805,15446.32678113186,3356.043962652981,23680.41952427265
Gyeonggi-do,Yeoju-si,2611605.046184201,8373.0,13092.246954938635,4878.048780487805,15586.16044311744,2129.130343255596,22593.33956686084
Incheon,Jung-gu,2694593.57806703,15222.0,6925.344477263257,4878.048780487805,16081.439227616049,1126.236093375606,22085.724101479456
Incheon,Gyeyang-gu,2464234.6459021824,5210.0,15043.983390976842,4878.048780487805,14706.648165134206,2446.532030094305,22031.22897571632
Gyeonggi-do,Pocheonsi,2520184.290787329,8315.0,12398.843485923251,4878.048780487805,15040.557820879996,2016.3654090864889,21934.972010454287
Gyeonggi-do,Icheon-si,2696186.148546989,18133.0,4027.434097646488,4878.048780487805,16090.943750152444,654.9626028499819,21623.955133490228
Gyeonggi-do,Anseong-si,2437302.5048048603,21556.0,0.0,4878.048780487805,14545.916100064544,0.0,19423.964880552347
Incheon,Nam-gu,2412445.2886860296,0.0,,4878.048780487805,14397.567267930292,0.0,19275.6160484181
Gyeonggi-do,Yangjusi,2131066.0239989795,9668.0,7847.611156155996,4878.048780487805,12718.28487751426,1276.2199714190444,18872.55362942111
Gyeonggi-do,Uijeongbu-si,2342233.4487575376,0.0,,4878.048780487805,13978.540277715643,0.0,18856.589058203448
Gyeonggi-do,Gunpo-si,1788113.5120273195,1000.0,13696.823386525914,4878.048780487805,10671.530953612006,2227.449755480256,17777.029489580065
Gyeonggi-do,Hanam-si,1896717.3758031533,0.0,,4878.048780487805,11319.683034657275,0.0,16197.73181514508
Gyeonggi-do,Gwangmyeong-si,1543235.6211766456,1700.0,10984.128393232706,4878.048780487805,9210.09018126116,1786.29696924753,15874.435930996491
Gyeonggi-do,Osan-si,1520573.321156326,857.0,11640.86291361364,4878.048780487805,9074.840693731318,1893.0986053317772,15845.9880795509
Incheon,Yeonsu-gu,1654771.5109405948,0.0,,4878.048780487805,9875.74070738752,0.0,14753.789487875323
Gyeonggi-do,Yeoncheon-gun,1628147.7678639148,0.0,,4878.048780487805,9716.84917369418,0.0,14594.897954181986
Gyeonggi-do,Guri-si,1105838.165475983,360.0,8729.080812131368,4878.048780487805,6599.685161588425,1419.569222136339,12897.303164212568
Gyeonggi-do,Yangpyeong-gun,1302239.0488898463,0.0,,4878.048780487805,7771.813268987776,0.0,12649.86204947558
Gyeonggi-do,Uiwang-si,1083064.8757470232,4179.0,4722.903088331697,4878.048780487805,6463.773283162636,768.0634430615743,12109.885506712017
Incheon,Ganghwa-gun,987587.3025019908,0.0,,4878.048780487805,5893.95941429649,0.0,10772.008194784295
Incheon,Dong-gu,691526.1808035213,12293.0,0.0,4878.048780487805,4127.05513047156,0.0,9005.103910959366
Gyeonggi-do,Gapyeong-gun,646193.9277576351,4848.0,463.1829678709737,4878.048780487805,3856.5104819790463,75.32526042073074,8809.884522887582
Gyeonggi-do,Dongducheon-si,646524.132479132,0.0,,4878.048780487805,3858.481156593818,0.0,8736.529937081623
Incheon,Ongjin-gun,315107.4589406295,0.0,,4878.048780487805,1880.5735649223009,0.0,6758.6223454101055
Gyeonggi-do,Gwacheon-si,265141.4128176591,0.0,,4878.048780487805,1582.3742592046574,0.0,6460.423039692462
